SalesOrderItemNumber,DeliveryNumber,DeliveryItemNumber,Material,DeliveryQuantity,Volume,NetWeight,GrossWeight
90,2104468235,900029,6E+13,2723,2723000,2446.7,2461.2
90,2104468235,900030,6E+13,1439,1439000,1291.1,1305.6
90,2104468235,900031,6E+13,713,713000,637.7,652.2
90,2104468235,900032,6E+13,2645,2645000,2376.5,2391
110,2104468235,900033,6E+13,65,24057.5,0.56,33
110,2104468235,900034,6E+13,305,100287.5,0.8,105
90,2104468243,900021,237070,725,62600,6.98,23.64
90,2104468243,900022,237070,5045,408200,45.86,75.48
90,2104468243,900023,237070,20741,1663880,187.124,263.832
120,2104468243,900024,237063,3461,253832,31.604,56.472
120,2104468243,900025,237063,14981,1083272,135.284,194.712
180,2104468243,900026,231207,193,70142,13.66,33.612
180,2104468243,900027,231207,117,43808,8.34,26.088
190,2104468243,900028,234611,1085,515300,56.66,115.44
190,2104468243,900029,234611,221,107060,11.732,35.088
70,2063560517,80,240957,1985,559954.4,2.48,16.98
20,2063560518,30,240742,815,111920,235.4,249.9
30,2063560518,40,241763,575,79996.04,108.8,123.3
40,2063560518,50,6E+13,1457,187952,87.62,102.12
20,2063560519,30,6E+13,197,66440,15.86,30.36
30,2063560519,40,6E+13,77,77000,5.18,19.68
40,2063560519,50,6E+13,341,265064,185.3,199.8
50,2063560519,60,230842,485,5000.48,0.98,15.48
60,2063560519,70,6E+13,5,5000,0.5,15
90,2063560519,80,6E+13,101,22664,4.148,18.648
100,2063560519,90,6E+13,509,259016,140.108,154.608
110,2063560519,100,241695,5,5000,0.5,15
60,2063560519,900021,6E+13,533,271112,146.756,161.256
60,2063560519,900022,6E+13,341,174344,93.572,108.072
20,2063560520,30,6E+13,53,20360,4.34,18.84
20,2063560521,30,241763,1395,187885.08,264.6,279.1
30,2063560521,40,237070,1397,116360,18.596,33.096
20,2063560522,30,240957,53,18453.44,0.548,15.048
110,2063560522,120,6E+13,29,11210,1.412,15.912
120,2063560522,130,6E+13,29,10596.8,1.412,15.912
130,2063560522,140,6E+13,173,113864,20.66,35.16
140,2063560522,150,6E+13,257,132008,70.304,84.804
150,2063560522,160,6E+13,221,113864,60.332,74.832
160,2063560522,170,241695,5,5000,0.5,15
170,2063560522,180,241701,29,23144,14.18,28.68
190,2063560522,190,6E+13,5,5000,0.5,15
210,2104468243,900030,224381,23,14900,1.922,17.106
210,2104468243,900031,224381,227,127100,18.038,40.974
220,2104468243,900032,209364,2021,736808,121.46,186.36
220,2104468243,900033,209364,5189,1886792,311.54,455.64
40,2104468250,900021,241763,2565,341824.32,23.54,63.64
40,2104468250,900022,241763,5125,678648.64,46.58,112.28
60,2104468250,900023,6E+13,2885,912200,320.18,334.68
60,2104468250,900024,6E+13,5765,1819400,639.86,654.36
240,2104468262,900021,233710,4945,938660,128.94,143.44
240,2104468262,900022,233710,465,91940,12.46,26.96
280,2104468262,900023,6E+13,71,112844,77.06,91.56
280,2104468262,900024,6E+13,299,485396,341.54,356.04
30,2104468273,900021,228792,1265,892040,378.5,393
30,2104468273,900022,228792,485,342920,144.5,159
30,2104468273,900023,228792,1265,892040,378.5,393
60,2104468273,900024,6E+13,245,43880,24.5,39
60,2104468273,900025,6E+13,2465,403520,246.5,261
